"TABLE","COMBI_FIELD_NAME","TABLE_ROWS","TOTAL_NULL_ROWS","TOTAL_NOT_NULL_ROWS"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","ID_SEQ","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","SYN_REG_ID_SEQ_OR","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","TERRITORY_CODE","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","VALID_FROM_DATE","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","VALID_TO_DATE","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","VALID_IND","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","VALID_MSG","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","LANGUAGE_CODE","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","MARKET_CODE","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","NB_REQUEST","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","PURGE_DATE","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","SYN_REG_ID_SEQ","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","SUPPORT_CODE","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","SALE_QUALIFIER","0","0","0"
"RIGHTS.RIG_TITLE_STREAMING_CACHE_OLD","SYN_REG_ID_SEQ_IR","0","0","0"
"RIGHTS.RIG_TREE_RIGHTS","CREATED_BY","2,717,868","0","2,717,868"
"RIGHTS.RIG_TREE_RIGHTS","CREATION_DATE","2,717,868","0","2,717,868"
"RIGHTS.RIG_TREE_RIGHTS","ID_SEQ","2,717,868","0","2,717,868"
"RIGHTS.RIG_TREE_RIGHTS","ID_SEQ_PARENT","2,717,868","43,221","2,674,647"
"RIGHTS.RIG_TREE_RIGHTS","LAST_UPDATED_BY","2,717,868","0","2,717,868"
"RIGHTS.RIG_TREE_RIGHTS","LAST_UPDATE_DATE","2,717,868","0","2,717,868"
"RIGHTS.RIG_TREE_RIGHTS","NODE_ID_SEQ","2,717,868","1,211,182","1,506,686"
"RIGHTS.RIG_TREE_RIGHTS","RIG_TIR_ID_SEQ","2,717,868","0","2,717,868"
"RIGHTS.RIG_TREE_RIGHTS","RIG_TST_ID_SEQ","2,717,868","0","2,717,868"
