"TABLE","TABLE_ROWS","COMBI_FIELDS_NAME","FIELD_NAME_1","FIELD_NAME_2","TOTAL_NULL_ROWS","TOTAL_NOT_NULL_ROWS"
"RIGHTS.DATABASECHANGELOG","0","AUTHOR , COMMENTS","AUTHOR","COMMENTS","0","0"
"RIGHTS.DATABASECHANGELOG","0","AUTHOR , MD5SUM","AUTHOR","MD5SUM","0","0"
"RIGHTS.DATABASECHANGELOG","0","AUTHOR , ORDEREXECUTED","AUTHOR","ORDEREXECUTED","0","0"
"RIGHTS.DATABASECHANGELOG","0","AUTHOR , TAG","AUTHOR","TAG","0","0"
"RIGHTS.DATABASECHANGELOG","0","COMMENTS , CONTEXTS","COMMENTS","CONTEXTS","0","0"
"RIGHTS.DATABASECHANGELOG","0","COMMENTS , DATEEXECUTED","COMMENTS","DATEEXECUTED","0","0"
"RIGHTS.DATABASECHANGELOG","0","COMMENTS , DESCRIPTION","COMMENTS","DESCRIPTION","0","0"
"RIGHTS.DATABASECHANGELOG","0","COMMENTS , EXECTYPE","COMMENTS","EXECTYPE","0","0"
"RIGHTS.DATABASECHANGELOG","0","COMMENTS , FILENAME","COMMENTS","FILENAME","0","0"
"RIGHTS.DATABASECHANGELOG","0","COMMENTS , ID","COMMENTS","ID","0","0"
"RIGHTS.DATABASECHANGELOG","0","COMMENTS , LABELS","COMMENTS","LABELS","0","0"
"RIGHTS.DATABASECHANGELOG","0","AUTHOR , CONTEXTS","AUTHOR","CONTEXTS","0","0"
"RIGHTS.DATABASECHANGELOG","0","COMMENTS , LIQUIBASE","COMMENTS","LIQUIBASE","0","0"
"RIGHTS.DATABASECHANGELOG","0","COMMENTS , MD5SUM","COMMENTS","MD5SUM","0","0"
"RIGHTS.DATABASECHANGELOG","0","COMMENTS , ORDEREXECUTED","COMMENTS","ORDEREXECUTED","0","0"
"RIGHTS.DATABASECHANGELOG","0","COMMENTS , TAG","COMMENTS","TAG","0","0"
"RIGHTS.DATABASECHANGELOG","0","CONTEXTS , DATEEXECUTED","CONTEXTS","DATEEXECUTED","0","0"
"RIGHTS.DATABASECHANGELOG","0","CONTEXTS , DESCRIPTION","CONTEXTS","DESCRIPTION","0","0"
"RIGHTS.DATABASECHANGELOG","0","CONTEXTS , EXECTYPE","CONTEXTS","EXECTYPE","0","0"
"RIGHTS.DATABASECHANGELOG","0","CONTEXTS , FILENAME","CONTEXTS","FILENAME","0","0"
"RIGHTS.DATABASECHANGELOG","0","CONTEXTS , ID","CONTEXTS","ID","0","0"
"RIGHTS.DATABASECHANGELOG","0","CONTEXTS , LABELS","CONTEXTS","LABELS","0","0"
"RIGHTS.DATABASECHANGELOG","0","AUTHOR , DATEEXECUTED","AUTHOR","DATEEXECUTED","0","0"
"RIGHTS.DATABASECHANGELOG","0","CONTEXTS , LIQUIBASE","CONTEXTS","LIQUIBASE","0","0"
"RIGHTS.DATABASECHANGELOG","0","CONTEXTS , MD5SUM","CONTEXTS","MD5SUM","0","0"
"RIGHTS.DATABASECHANGELOG","0","CONTEXTS , ORDEREXECUTED","CONTEXTS","ORDEREXECUTED","0","0"
"RIGHTS.DATABASECHANGELOG","0","CONTEXTS , TAG","CONTEXTS","TAG","0","0"
"RIGHTS.DATABASECHANGELOG","0","DATEEXECUTED , DESCRIPTION","DATEEXECUTED","DESCRIPTION","0","0"
"RIGHTS.DATABASECHANGELOG","0","DATEEXECUTED , EXECTYPE","DATEEXECUTED","EXECTYPE","0","0"
"RIGHTS.DATABASECHANGELOG","0","DATEEXECUTED , FILENAME","DATEEXECUTED","FILENAME","0","0"
"RIGHTS.DATABASECHANGELOG","0","DATEEXECUTED , ID","DATEEXECUTED","ID","0","0"
"RIGHTS.DATABASECHANGELOG","0","DATEEXECUTED , LABELS","DATEEXECUTED","LABELS","0","0"
"RIGHTS.DATABASECHANGELOG","0","DATEEXECUTED , LIQUIBASE","DATEEXECUTED","LIQUIBASE","0","0"
"RIGHTS.DATABASECHANGELOG","0","AUTHOR , DESCRIPTION","AUTHOR","DESCRIPTION","0","0"
"RIGHTS.DATABASECHANGELOG","0","DATEEXECUTED , MD5SUM","DATEEXECUTED","MD5SUM","0","0"
"RIGHTS.DATABASECHANGELOG","0","DATEEXECUTED , ORDEREXECUTED","DATEEXECUTED","ORDEREXECUTED","0","0"
"RIGHTS.DATABASECHANGELOG","0","DATEEXECUTED , TAG","DATEEXECUTED","TAG","0","0"
"RIGHTS.DATABASECHANGELOG","0","DESCRIPTION , EXECTYPE","DESCRIPTION","EXECTYPE","0","0"
"RIGHTS.DATABASECHANGELOG","0","DESCRIPTION , FILENAME","DESCRIPTION","FILENAME","0","0"
"RIGHTS.DATABASECHANGELOG","0","DESCRIPTION , ID","DESCRIPTION","ID","0","0"
"RIGHTS.DATABASECHANGELOG","0","DESCRIPTION , LABELS","DESCRIPTION","LABELS","0","0"
"RIGHTS.DATABASECHANGELOG","0","DESCRIPTION , LIQUIBASE","DESCRIPTION","LIQUIBASE","0","0"
"RIGHTS.DATABASECHANGELOG","0","DESCRIPTION , MD5SUM","DESCRIPTION","MD5SUM","0","0"
"RIGHTS.DATABASECHANGELOG","0","DESCRIPTION , ORDEREXECUTED","DESCRIPTION","ORDEREXECUTED","0","0"
"RIGHTS.DATABASECHANGELOG","0","AUTHOR , EXECTYPE","AUTHOR","EXECTYPE","0","0"
"RIGHTS.DATABASECHANGELOG","0","DESCRIPTION , TAG","DESCRIPTION","TAG","0","0"
"RIGHTS.DATABASECHANGELOG","0","EXECTYPE , FILENAME","EXECTYPE","FILENAME","0","0"
"RIGHTS.DATABASECHANGELOG","0","EXECTYPE , ID","EXECTYPE","ID","0","0"
"RIGHTS.DATABASECHANGELOG","0","EXECTYPE , LABELS","EXECTYPE","LABELS","0","0"
"RIGHTS.DATABASECHANGELOG","0","EXECTYPE , LIQUIBASE","EXECTYPE","LIQUIBASE","0","0"
"RIGHTS.DATABASECHANGELOG","0","EXECTYPE , MD5SUM","EXECTYPE","MD5SUM","0","0"
"RIGHTS.DATABASECHANGELOG","0","EXECTYPE , ORDEREXECUTED","EXECTYPE","ORDEREXECUTED","0","0"
"RIGHTS.DATABASECHANGELOG","0","EXECTYPE , TAG","EXECTYPE","TAG","0","0"
"RIGHTS.DATABASECHANGELOG","0","FILENAME , ID","FILENAME","ID","0","0"
"RIGHTS.DATABASECHANGELOG","0","FILENAME , LABELS","FILENAME","LABELS","0","0"
"RIGHTS.DATABASECHANGELOG","0","AUTHOR , FILENAME","AUTHOR","FILENAME","0","0"
"RIGHTS.DATABASECHANGELOG","0","FILENAME , LIQUIBASE","FILENAME","LIQUIBASE","0","0"
"RIGHTS.DATABASECHANGELOG","0","FILENAME , MD5SUM","FILENAME","MD5SUM","0","0"
"RIGHTS.DATABASECHANGELOG","0","FILENAME , ORDEREXECUTED","FILENAME","ORDEREXECUTED","0","0"
"RIGHTS.DATABASECHANGELOG","0","FILENAME , TAG","FILENAME","TAG","0","0"
"RIGHTS.DATABASECHANGELOG","0","ID , LABELS","ID","LABELS","0","0"
"RIGHTS.DATABASECHANGELOG","0","ID , LIQUIBASE","ID","LIQUIBASE","0","0"
"RIGHTS.DATABASECHANGELOG","0","ID , MD5SUM","ID","MD5SUM","0","0"
"RIGHTS.DATABASECHANGELOG","0","ID , ORDEREXECUTED","ID","ORDEREXECUTED","0","0"
"RIGHTS.DATABASECHANGELOG","0","ID , TAG","ID","TAG","0","0"
"RIGHTS.DATABASECHANGELOG","0","LABELS , LIQUIBASE","LABELS","LIQUIBASE","0","0"
"RIGHTS.DATABASECHANGELOG","0","AUTHOR , ID","AUTHOR","ID","0","0"
"RIGHTS.DATABASECHANGELOG","0","LABELS , MD5SUM","LABELS","MD5SUM","0","0"
"RIGHTS.DATABASECHANGELOG","0","LABELS , ORDEREXECUTED","LABELS","ORDEREXECUTED","0","0"
"RIGHTS.DATABASECHANGELOG","0","LABELS , TAG","LABELS","TAG","0","0"
"RIGHTS.DATABASECHANGELOG","0","LIQUIBASE , MD5SUM","LIQUIBASE","MD5SUM","0","0"
