"OWNER","MVIEW_NAME","MVIEW_FULL_NAME","QUERY_LEN","CONTAINER_NAME","REFRESH_MODE","BUILD_MODE","LAST_REFRESH_DATE","COMPILE_STATE"
"RIGHTS","GTD_REF_CODES","RIGHTS.GTD_REF_CODES","615","GTD_REF_CODES","DEMAND","IMMEDIATE","2022-10-06 21:00:04","VALID"
"RIGHTS","GTD_SITE","RIGHTS.GTD_SITE","367","GTD_SITE","DEMAND","IMMEDIATE","2022-10-06 21:00:04","VALID"
"RIGHTS","GTD_SITE_TITLE","RIGHTS.GTD_SITE_TITLE","860","GTD_SITE_TITLE","DEMAND","IMMEDIATE","2022-10-06 21:00:07","VALID"
"RIGHTS","GTP_SITE_TITLE","RIGHTS.GTP_SITE_TITLE","753","GTP_SITE_TITLE","DEMAND","IMMEDIATE","2022-10-06 21:00:04","VALID"
"RIGHTS","RIG_CONTRACT","RIGHTS.RIG_CONTRACT","1,120","RIG_CONTRACT","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_CONTRACT_SECTION","RIGHTS.RIG_CONTRACT_SECTION","552","RIG_CONTRACT_SECTION","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_CONTRACT_TYPE","RIGHTS.RIG_CONTRACT_TYPE","639","RIG_CONTRACT_TYPE","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_CONTRACT_TYPE_TL","RIGHTS.RIG_CONTRACT_TYPE_TL","472","RIG_CONTRACT_TYPE_TL","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_DOMAIN","RIGHTS.RIG_DOMAIN","439","RIG_DOMAIN","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_DOMAIN_TL","RIGHTS.RIG_DOMAIN_TL","409","RIG_DOMAIN_TL","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_EXTEND_TLMS","RIGHTS.RIG_EXTEND_TLMS","197","RIG_EXTEND_TLMS","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_LEAF_CONTRACT","RIGHTS.RIG_LEAF_CONTRACT","919","RIG_LEAF_CONTRACT","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_LEAF_DISTRIBUTOR","RIGHTS.RIG_LEAF_DISTRIBUTOR","1,046","RIG_LEAF_DISTRIBUTOR","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_LEAF_MARKET","RIGHTS.RIG_LEAF_MARKET","755","RIG_LEAF_MARKET","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_LEAF_QTY_CONSTRAINT","RIGHTS.RIG_LEAF_QTY_CONSTRAINT","537","RIG_LEAF_QTY_CONSTRAINT","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_LEAF_RIGHT_HOLDER","RIGHTS.RIG_LEAF_RIGHT_HOLDER","719","RIG_LEAF_RIGHT_HOLDER","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_LEAF_SALE_QUALIFIER","RIGHTS.RIG_LEAF_SALE_QUALIFIER","1,169","RIG_LEAF_SALE_QUALIFIER","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_LEAF_SUPPORT","RIGHTS.RIG_LEAF_SUPPORT","722","RIG_LEAF_SUPPORT","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_LEAF_TERRITORY","RIGHTS.RIG_LEAF_TERRITORY","701","RIG_LEAF_TERRITORY","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_LEAF_TIME_CONSTRAINT","RIGHTS.RIG_LEAF_TIME_CONSTRAINT","1,186","RIG_LEAF_TIME_CONSTRAINT","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_LEAF_TITLE","RIGHTS.RIG_LEAF_TITLE","506","RIG_LEAF_TITLE","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_MARKET","RIGHTS.RIG_MARKET","455","RIG_MARKET","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_MARKET_EXTEND","RIGHTS.RIG_MARKET_EXTEND","521","RIG_MARKET_EXTEND","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_MARKET_TL","RIGHTS.RIG_MARKET_TL","409","RIG_MARKET_TL","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_SET_MARKET","RIGHTS.RIG_SET_MARKET","516","RIG_SET_MARKET","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_SET_MARKET_LIST","RIGHTS.RIG_SET_MARKET_LIST","453","RIG_SET_MARKET_LIST","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_SUPPORT","RIGHTS.RIG_SUPPORT","463","RIG_SUPPORT","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_SUPPORT_TL","RIGHTS.RIG_SUPPORT_TL","418","RIG_SUPPORT_TL","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_TITLE_RELATIONS","RIGHTS.RIG_TITLE_RELATIONS","495","RIG_TITLE_RELATIONS","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_TREE_STRUCTURE","RIGHTS.RIG_TREE_STRUCTURE","826","RIG_TREE_STRUCTURE","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
"RIGHTS","RIG_TREE_STRUCTURE_TL","RIGHTS.RIG_TREE_STRUCTURE_TL","481","RIG_TREE_STRUCTURE_TL","DEMAND","IMMEDIATE","2022-10-07 01:00:01","VALID"
