"OWNER","MVIEW_NAME","COLUMN_NAME","NULLABLE","DATA_TYPE","DATA_DEFAULT","DATA_LENGTH","DATA_PRECISION"
"RIGHTS","GTD_REF_CODES","CREATED_BY","Y","NUMBER","None","22","None"
"RIGHTS","GTD_REF_CODES","CREATION_DATE","Y","DATE","None","7","None"
"RIGHTS","GTD_REF_CODES","LAST_UPDATED_BY","Y","NUMBER","None","22","None"
"RIGHTS","GTD_REF_CODES","LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","GTD_REF_CODES","LAST_UPDATE_LOGIN","Y","NUMBER","None","22","None"
"RIGHTS","GTD_REF_CODES","RV_ABBREVIATION","Y","VARCHAR2","None","240","None"
"RIGHTS","GTD_REF_CODES","RV_DISPLAY_SEQ","Y","NUMBER","None","22","4"
"RIGHTS","GTD_REF_CODES","RV_DOMAIN","N","VARCHAR2","None","100","None"
"RIGHTS","GTD_REF_CODES","RV_HIGH_VALUE","Y","VARCHAR2","None","240","None"
"RIGHTS","GTD_REF_CODES","RV_LOW_VALUE","N","VARCHAR2","None","240","None"
"RIGHTS","GTD_REF_CODES","RV_MEANING","Y","VARCHAR2","None","240","None"
"RIGHTS","GTD_REF_CODES","RV_TYPE","Y","VARCHAR2","None","10","None"
"RIGHTS","GTD_SITE","CREATED_BY","Y","NUMBER","None","22","15"
"RIGHTS","GTD_SITE","CREATION_DATE","Y","DATE","None","7","None"
"RIGHTS","GTD_SITE","DESCRIPTION_ENG","Y","VARCHAR2","None","255","None"
"RIGHTS","GTD_SITE","DESCRIPTION_FRE","Y","VARCHAR2","None","255","None"
"RIGHTS","GTD_SITE","DOMAIN","N","VARCHAR2","None","30","None"
"RIGHTS","GTD_SITE","ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTD_SITE","LAST_UPDATED_BY","Y","NUMBER","None","22","15"
"RIGHTS","GTD_SITE","LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","GTD_SITE_TITLE","CREATED_BY","Y","NUMBER","None","22","15"
"RIGHTS","GTD_SITE_TITLE","CREATION_DATE","Y","DATE","None","7","None"
"RIGHTS","GTD_SITE_TITLE","DATE_CONSUMER","Y","DATE","None","7","None"
"RIGHTS","GTD_SITE_TITLE","DATE_INSTITUTIONAL","Y","DATE","None","7","None"
"RIGHTS","GTD_SITE_TITLE","EXTRACT","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_SITE_TITLE","FILM","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_SITE_TITLE","FILM_DESC","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_SITE_TITLE","GTD_SIT_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTD_SITE_TITLE","LAST_UPDATED_BY","Y","NUMBER","None","22","15"
"RIGHTS","GTD_SITE_TITLE","LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","GTD_SITE_TITLE","NOTE_CONSUMER","Y","VARCHAR2","None","4000","None"
"RIGHTS","GTD_SITE_TITLE","NOTE_INSTITUTIONAL","Y","VARCHAR2","None","4000","None"
"RIGHTS","GTD_SITE_TITLE","PHOTO","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_SITE_TITLE","SALE_CONSUMER","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_SITE_TITLE","SALE_INSTITUTIONAL","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_SITE_TITLE","SYN_REG_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTD_SITE_TITLE","TITLE","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_SITE_TITLE","CREATED_BY","Y","NUMBER","None","22","15"
"RIGHTS","GTP_SITE_TITLE","CREATION_DATE","Y","DATE","None","7","None"
"RIGHTS","GTP_SITE_TITLE","DATE_CONSUMER","Y","DATE","None","7","None"
"RIGHTS","GTP_SITE_TITLE","DATE_INSTITUTIONAL","Y","DATE","None","7","None"
"RIGHTS","GTP_SITE_TITLE","EXTRACT","Y","VARCHAR2","Null","2","None"
"RIGHTS","GTP_SITE_TITLE","FILM","Y","VARCHAR2","Null","2","None"
"RIGHTS","GTP_SITE_TITLE","FILM_DESC","Y","VARCHAR2","Null","2","None"
"RIGHTS","GTP_SITE_TITLE","GTD_SIT_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTP_SITE_TITLE","LAST_UPDATED_BY","Y","NUMBER","None","22","15"
"RIGHTS","GTP_SITE_TITLE","LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","GTP_SITE_TITLE","PHOTO","Y","VARCHAR2","Null","2","None"
"RIGHTS","GTP_SITE_TITLE","SALE_CONSUMER","Y","VARCHAR2","Null","2","None"
"RIGHTS","GTP_SITE_TITLE","SALE_INSTITUTIONAL","Y","VARCHAR2","Null","2","None"
"RIGHTS","GTP_SITE_TITLE","SYN_REG_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTP_SITE_TITLE","TITLE","Y","VARCHAR2","Null","2","None"
"RIGHTS","RIG_CONTRACT","AMENDMENT_NO","N","NUMBER","None","22","2"
"RIGHTS","RIG_CONTRACT","CONTRACT_NO","N","NUMBER","None","22","15"
"RIGHTS","RIG_CONTRACT","CONTRACT_NOTE","Y","VARCHAR2","None","4000","None"
"RIGHTS","RIG_CONTRACT","CONTRACT_REFERENCE","Y","VARCHAR2","None","100","None"
"RIGHTS","RIG_CONTRACT","CONTRACT_SALE_TYPE","N","VARCHAR2","None","30","None"
"RIGHTS","RIG_CONTRACT","CONTRACT_STATUS","N","VARCHAR2","None","30","None"
"RIGHTS","RIG_CONTRACT","CREATED_BY","N","NUMBER","None","22","15"
"RIGHTS","RIG_CONTRACT","CREATION_DATE","N","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT","CURR_CODE","N","VARCHAR2","None","15","None"
"RIGHTS","RIG_CONTRACT","CURR_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT","CURR_RATE","N","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT","CURR_TYPE","N","VARCHAR2","None","30","None"
"RIGHTS","RIG_CONTRACT","ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT","IND_GEN_BILL","N","VARCHAR2","None","1","None"
"RIGHTS","RIG_CONTRACT","LAST_UPDATED_BY","Y","NUMBER","None","22","15"
"RIGHTS","RIG_CONTRACT","LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT","RIG_CTP_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT","SIGNED_AT","Y","VARCHAR2","None","60","None"
"RIGHTS","RIG_CONTRACT","SIGNED_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT","SIGNED_PERSON_ID","Y","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT","SIGNED_POSITION_ID","Y","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT","TOTAL_AMOUNT","N","NUMBER","None","22","15"
"RIGHTS","RIG_CONTRACT","TOTAL_AMOUNT_CAD","N","NUMBER","None","22","15"
"RIGHTS","RIG_CONTRACT_SECTION","CREATED_BY","N","NUMBER","None","22","15"
"RIGHTS","RIG_CONTRACT_SECTION","CREATION_DATE","N","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_SECTION","ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_SECTION","LAST_UPDATED_BY","Y","NUMBER","None","22","15"
"RIGHTS","RIG_CONTRACT_SECTION","LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_SECTION","RIG_CON_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_SECTION","RIG_CTP_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_SECTION","RIG_TIR_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_SECTION","ROW_TYPE","N","VARCHAR2","None","50","None"
"RIGHTS","RIG_CONTRACT_TYPE","CODE","N","VARCHAR2","None","20","None"
"RIGHTS","RIG_CONTRACT_TYPE","CREATED_BY","N","NUMBER","None","22","15"
"RIGHTS","RIG_CONTRACT_TYPE","CREATION_DATE","N","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_TYPE","DESCRIPTION","N","VARCHAR2","None","255","None"
"RIGHTS","RIG_CONTRACT_TYPE","END_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_TYPE","ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","RIG_CONTRACT_TYPE","LAST_UPDATED_BY","Y","NUMBER","None","22","15"
"RIGHTS","RIG_CONTRACT_TYPE","LAST_UPDATE_DATE","Y","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_TYPE","REPORT_NAME_ENG","Y","VARCHAR2","None","8","None"
"RIGHTS","RIG_CONTRACT_TYPE","REPORT_NAME_FRE","Y","VARCHAR2","None","8","None"
"RIGHTS","RIG_CONTRACT_TYPE","SEQ_NAME","N","VARCHAR2","None","60","None"
"RIGHTS","RIG_CONTRACT_TYPE","START_DATE","N","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_TYPE_TL","CREATED_BY","N","NUMBER","None","22","15"
"RIGHTS","RIG_CONTRACT_TYPE_TL","CREATION_DATE","N","DATE","None","7","None"
"RIGHTS","RIG_CONTRACT_TYPE_TL","DESCRIPTION","N","VARCHAR2","None","255","None"
