"ATTRIBUTE_NAME","ATTRIBUTE_VALUE"
"DBFIPS_140","FALSE"
"O7_DICTIONARY_ACCESSIBILITY","FALSE"
"active_instance_count","None"
"aq_tm_processes","1"
"archive_lag_target","0"
"asm_diskgroups","None"
"asm_diskstring","None"
"asm_power_limit","1"
"asm_preferred_read_failure_groups","None"
"audit_file_dest","/u01/oracle/product/12.1.0/dbhome_1/rdbms/audit"
"audit_sys_operations","TRUE"
"audit_syslog_level","None"
"audit_trail","NONE"
"awr_snapshot_time_offset","0"
"background_core_dump","partial"
"background_dump_dest","/u01/oracle/product/12.1.0/dbhome_1/rdbms/log"
"backup_tape_io_slaves","FALSE"
"bitmap_merge_area_size","1048576"
"blank_trimming","FALSE"
"buffer_pool_keep","None"
"buffer_pool_recycle","None"
"cell_offload_compaction","ADAPTIVE"
"cell_offload_decryption","TRUE"
"cell_offload_parameters","None"
"cell_offload_plan_display","AUTO"
"cell_offload_processing","TRUE"
"cell_offloadgroup_name","None"
"circuits","None"
"client_result_cache_lag","3000"
"client_result_cache_size","0"
"clonedb","FALSE"
"cluster_database","FALSE"
"cluster_database_instances","1"
"cluster_interconnects","None"
"commit_logging","None"
"commit_point_strength","1"
"commit_wait","None"
"commit_write","None"
"common_user_prefix","C##"
"compatible","12.0.0"
"connection_brokers","((TYPE=DEDICATED)(BROKERS=1)), ((TYPE=EMON)(BROKERS=1))"
"control_file_record_keep_time","7"
"control_files","/u01/oracle/product/12.1.0/dbhome_1/dbs/cntrlwrech.dbf"
"control_management_pack_access","NONE"
"core_dump_dest","/u01/oracle/diag/rdbms/wrech/wrech/cdump"
"cpu_count","64"
"create_bitmap_area_size","8388608"
"create_stored_outlines","None"
"cursor_bind_capture_destination","memory+disk"
"cursor_sharing","EXACT"
"cursor_space_for_time","FALSE"
"db_16k_cache_size","0"
"db_2k_cache_size","0"
"db_32k_cache_size","0"
"db_4k_cache_size","0"
"db_8k_cache_size","0"
"db_big_table_cache_percent_target","0"
"db_block_buffers","0"
"db_block_checking","FALSE"
"db_block_checksum","TYPICAL"
"db_block_size","8192"
"db_cache_advice","ON"
"db_cache_size","0"
"db_create_file_dest","None"
"db_create_online_log_dest_1","None"
"db_create_online_log_dest_2","None"
"db_create_online_log_dest_3","None"
"db_create_online_log_dest_4","None"
"db_create_online_log_dest_5","None"
"db_domain","None"
"db_file_multiblock_read_count","128"
"db_file_name_convert","None"
"db_files","200"
"db_flash_cache_file","None"
"db_flash_cache_size","0"
"db_flashback_retention_target","1440"
"db_index_compression_inheritance","NONE"
"db_keep_cache_size","0"
"db_lost_write_protect","NONE"
"db_name","wrech"
"db_performance_profile","None"
"db_recovery_file_dest","None"
"db_recovery_file_dest_size","0"
"db_recycle_cache_size","0"
"db_securefile","PREFERRED"
"db_ultra_safe","OFF"
"db_unique_name","wrech"
"db_unrecoverable_scn_tracking","TRUE"
"db_writer_processes","8"
"dbwr_io_slaves","0"
"ddl_lock_timeout","0"
"deferred_segment_creation","TRUE"
"dg_broker_config_file1","/u01/oracle/product/12.1.0/dbhome_1/dbs/dr1wrech.dat"
"dg_broker_config_file2","/u01/oracle/product/12.1.0/dbhome_1/dbs/dr2wrech.dat"
"dg_broker_start","FALSE"
"diagnostic_dest","/u01/oracle"
"disk_asynch_io","TRUE"
"dispatchers","None"
"distributed_lock_timeout","60"
"dml_locks","17456"
"dnfs_batch_size","4096"
"dst_upgrade_insert_conv","TRUE"
"enable_ddl_logging","FALSE"
"enable_goldengate_replication","FALSE"
"enable_pluggable_database","FALSE"
"event","None"
"exclude_seed_cdb_view","TRUE"
"fal_client","None"
"fal_server","None"
"fast_start_io_target","0"
"fast_start_mttr_target","0"
"fast_start_parallel_rollback","LOW"
"file_mapping","FALSE"
"fileio_network_adapters","None"
"filesystemio_options","none"
"fixed_date","None"
"gcs_server_processes","0"
"global_context_pool_size","None"
"global_names","FALSE"
"global_txn_processes","1"
"hash_area_size","131072"
"heat_map","OFF"
"hi_shared_memory_address","0"
"hs_autoregister","TRUE"
"ifile","None"
"inmemory_clause_default","None"
"inmemory_force","DEFAULT"
"inmemory_max_populate_servers","0"
"inmemory_query","ENABLE"
"inmemory_size","0"
"inmemory_trickle_repopulate_servers_percent","1"
"instance_groups","None"
"instance_name","wrech"
"instance_number","0"
"instance_type","RDBMS"
"instant_restore","FALSE"
"java_jit_enabled","TRUE"
"java_max_sessionspace_size","0"
"java_pool_size","0"
"java_restrict","none"
"java_soft_sessionspace_limit","0"
"job_queue_processes","1000"
"large_pool_size","0"
"ldap_directory_access","NONE"
"ldap_directory_sysauth","no"
"license_max_sessions","0"
"license_max_users","0"
"license_sessions_warning","0"
"listener_networks","None"
"local_listener","None"
"lock_name_space","None"
"lock_sga","FALSE"
"log_archive_config","None"
"log_archive_dest","None"
"log_archive_dest_1","None"
"log_archive_dest_10","None"
"log_archive_dest_11","None"
"log_archive_dest_12","None"
"log_archive_dest_13","None"
"log_archive_dest_14","None"
"log_archive_dest_15","None"
"log_archive_dest_16","None"
"log_archive_dest_17","None"
"log_archive_dest_18","None"
"log_archive_dest_19","None"
"log_archive_dest_2","None"
"log_archive_dest_20","None"
"log_archive_dest_21","None"
"log_archive_dest_22","None"
"log_archive_dest_23","None"
"log_archive_dest_24","None"
"log_archive_dest_25","None"
"log_archive_dest_26","None"
"log_archive_dest_27","None"
"log_archive_dest_28","None"
"log_archive_dest_29","None"
"log_archive_dest_3","None"
"log_archive_dest_30","None"
"log_archive_dest_31","None"
"log_archive_dest_4","None"
"log_archive_dest_5","None"
"log_archive_dest_6","None"
"log_archive_dest_7","None"
"log_archive_dest_8","None"
"log_archive_dest_9","None"
"log_archive_dest_state_1","enable"
"log_archive_dest_state_10","enable"
"log_archive_dest_state_11","enable"
"log_archive_dest_state_12","enable"
"log_archive_dest_state_13","enable"
"log_archive_dest_state_14","enable"
"log_archive_dest_state_15","enable"
"log_archive_dest_state_16","enable"
"log_archive_dest_state_17","enable"
"log_archive_dest_state_18","enable"
"log_archive_dest_state_19","enable"
"log_archive_dest_state_2","enable"
"log_archive_dest_state_20","enable"
"log_archive_dest_state_21","enable"
"log_archive_dest_state_22","enable"
"log_archive_dest_state_23","enable"
"log_archive_dest_state_24","enable"
"log_archive_dest_state_25","enable"
"log_archive_dest_state_26","enable"
"log_archive_dest_state_27","enable"
"log_archive_dest_state_28","enable"
"log_archive_dest_state_29","enable"
"log_archive_dest_state_3","enable"
"log_archive_dest_state_30","enable"
"log_archive_dest_state_31","enable"
"log_archive_dest_state_4","enable"
"log_archive_dest_state_5","enable"
"log_archive_dest_state_6","enable"
"log_archive_dest_state_7","enable"
"log_archive_dest_state_8","enable"
"log_archive_dest_state_9","enable"
"log_archive_duplex_dest","None"
"log_archive_format","%t_%s_%r.dbf"
"log_archive_max_processes","4"
"log_archive_min_succeed_dest","1"
"log_archive_start","FALSE"
"log_archive_trace","0"
"log_buffer","57540608"
"log_checkpoint_interval","0"
"log_checkpoint_timeout","1800"
"log_checkpoints_to_alert","FALSE"
"log_file_name_convert","None"
"max_dispatchers","None"
"max_dump_file_size","unlimited"
"max_enabled_roles","150"
"max_shared_servers","None"
"max_string_size","STANDARD"
"memory_max_target","0"
"memory_target","0"
"nls_calendar","None"
"nls_comp","BINARY"
"nls_currency","None"
"nls_date_format","None"
"nls_date_language","None"
"nls_dual_currency","None"
"nls_iso_currency","None"
"nls_language","AMERICAN"
"nls_length_semantics","BYTE"
"nls_nchar_conv_excp","FALSE"
"nls_numeric_characters","None"
"nls_sort","None"
"nls_territory","AMERICA"
"nls_time_format","None"
"nls_time_tz_format","None"
"nls_timestamp_format","None"
"nls_timestamp_tz_format","None"
"noncdb_compatible","FALSE"
"object_cache_max_size_percent","10"
"object_cache_optimal_size","102400"
"olap_page_pool_size","0"
"open_cursors","50"
"open_links","4"
"open_links_per_instance","4"
"optimizer_adaptive_features","TRUE"
"optimizer_adaptive_reporting_only","FALSE"
"optimizer_capture_sql_plan_baselines","FALSE"
"optimizer_dynamic_sampling","2"
"optimizer_features_enable","12.1.0.2"
"optimizer_index_caching","0"
"optimizer_index_cost_adj","100"
"optimizer_inmemory_aware","TRUE"
"optimizer_mode","ALL_ROWS"
"optimizer_secure_view_merging","TRUE"
"optimizer_use_invisible_indexes","FALSE"
"optimizer_use_pending_statistics","FALSE"
"optimizer_use_sql_plan_baselines","TRUE"
