"DB_USERNAME","USER_ID","ACCOUNT_STATUS","DEFAULT_TABLESPACE","TEMPORARY_TABLESPACE","ORACLE_MAINTAINED","CREATED","LAST_LOGIN"
"ACCSIFO","81","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"AUDIT_NFB","82","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","None"
"BIBLIO","83","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"CATMUL","84","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","None"
"CEFHISTOIRE","85","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"CMM","87","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","2022-10-07 01:00:36"
"CONTRACT","88","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","2022-09-15 14:55:24"
"DIVCUL","89","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"DJANGO","137","OPEN","SYSTEM","TEMP","N","2022-05-06 15:40:34","None"
"ECINEMA","91","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"EJULIETTE","92","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","2022-09-15 14:55:23"
"ENVIRO","93","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"FESTIVALS","94","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","None"
"FORMAT","95","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","2022-10-07 01:00:36"
"FORUM","96","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","None"
"GPCITOYEN","97","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","None"
"GPS","98","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"IMAGES","99","OPEN","STOCKSHOT","TEMP","N","2022-05-05 16:57:56","2022-09-15 14:55:23"
"MBNL_ENGLISH","101","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","None"
"MBNL_FRENCH","102","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","None"
"MEMBERSHIP","103","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","None"
"NFB_METRIC","104","OPEN","TOOLS","TEMP","N","2022-05-05 16:57:56","None"
"OAS_PUBLIC","105","OPEN","TOOLS","TEMP","N","2022-05-05 16:57:56","None"
"OBJAN","106","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"ORACLE","123","OPEN","SYSTEM","TEMP","N","2022-05-06 15:40:34","None"
"ORDS_METADATA","218","EXPIRED & LOCKED","USERS","TEMP","N","2022-06-01 23:11:26","None"
"PERFSTAT","135","OPEN","SYSAUX","TEMP","N","2022-05-06 15:40:34","None"
"PHOTOS","107","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","2022-09-15 14:55:24"
"PLAYER","108","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","None"
"RIGHTS","109","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","2022-10-07 05:19:09"
"SEVENTHFLOOR","110","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"SGV","111","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"SNAPADMIN","126","OPEN","SYSTEM","TEMP","N","2022-05-06 15:40:34","2022-10-07 05:00:01"
"SPR","112","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","2022-10-07 00:00:12"
"SPR_CMS","113","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"SPR_CMS_PROD","114","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"STK_SHOT","115","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","2022-10-07 00:00:07"
"STOCKSHOT","116","OPEN","STOCKSHOT","TEMP","N","2022-05-05 16:57:56","2022-10-06 00:02:18"
"SYNCHRON","117","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","2022-09-15 14:55:24"
"THESAURUS","118","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"TOAD","119","OPEN","TOOLS","TEMP","N","2022-05-05 16:57:56","None"
"TSMSYS","134","EXPIRED & LOCKED","SYSTEM","TEMP","N","2022-05-06 15:40:34","None"
"VISAU","120","OPEN","COLL_DAT","TEMP","N","2022-05-05 16:57:56","None"
"VOUTENUM","121","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","2022-09-15 14:55:24"
"WOWAII","122","OPEN","COLL_LC","TEMP","N","2022-05-05 16:57:56","None"
"APPQOSSYS","48","EXPIRED & LOCKED","SYSAUX","TEMP","Y","2022-05-04 15:28:11","None"
"CTXSYS","61","OPEN","SYSAUX","TEMP","Y","2022-05-04 15:37:12","2022-05-12 19:22:58"
"DBSNMP","47","EXPIRED & LOCKED","SYSAUX","TEMP","Y","2022-05-04 15:28:10","None"
"GSMADMIN_INTERNAL","21","EXPIRED & LOCKED","SYSAUX","TEMP","Y","2022-05-04 15:24:50","None"
"ORACLE_OCM","36","EXPIRED & LOCKED","SYSTEM","TEMP","Y","2022-05-04 15:25:16","None"
"OUTLN","13","EXPIRED & LOCKED","SYSTEM","TEMP","Y","2022-05-04 15:21:36","None"
"SYS","0","OPEN","SYSTEM","TEMP","Y","2022-05-04 15:21:36","None"
"SYSTEM","8","OPEN","SYSTEM","TEMP","Y","2022-05-04 15:21:36","2022-10-07 05:32:58"
"XDB","49","EXPIRED & LOCKED","SYSAUX","TEMP","Y","2022-05-04 15:28:14","None"
