"TABLESPACE_NAME","SIZE_MB","FREE_MB","USED_%","FREE_%","SYS_STATUS"
"STOCKSHOT","4096","1135.4375","72","28","yellow"
"SYSTEM","500","173.3515625","65","35","yellow"
"COLL_LCI","2048","444.1875","78","22","yellow"
"LCENTER_DAT","100","99.9921875","0","100","green"
"SYSAUX","1524","526.1875","65","35","yellow"
"TOOLS","150","121.8671875","19","81","green"
"LCENTER_IDX","100","99.9921875","0","100","green"
"COLL_LC","2048","235.5","89","11","red"
"COLL_DAT","14336","584.984375","96","4","red"
"COLL_IDX","1024","617.3125","40","60","green"
"UNDOTBS1","7668","7450.8125","3","97","green"
"USERS","1024","1015.5625","1","99","green"
"TEMP","2548","615","76","24","yellow"
