"TABLESPACE_NAME","FILE_NAME","AUTOEXTENSIBLE","INCREMENT_BY","STATUS","ONLINE_STATUS"
"COLL_DAT","/u02/wrech/colldt01.dbf","YES","131,072","AVAILABLE","ONLINE"
"COLL_IDX","/u02/wrech/collid01.dbf","YES","131,072","AVAILABLE","ONLINE"
"COLL_LC","/u02/wrech/COLL_LC02.dbf","YES","131,072","AVAILABLE","ONLINE"
"COLL_LC","/u02/wrech/COLL_LC01.dbf","YES","131,072","AVAILABLE","ONLINE"
"COLL_LCI","/u02/wrech/COLL_LCI01.dbf","YES","131,072","AVAILABLE","ONLINE"
"LCENTER_DAT","/u02/wrech/lcenterdt01.dbf","YES","1,280","AVAILABLE","ONLINE"
"LCENTER_IDX","/u02/wrech/lcenterid01.dbf","YES","131,072","AVAILABLE","ONLINE"
"STOCKSHOT","/u02/wrech/stockshot.dbf","YES","131,072","AVAILABLE","ONLINE"
"SYSAUX","/u02/wrech/sysaux.dbf","YES","131,072","AVAILABLE","ONLINE"
"SYSTEM","/u02/wrech/system.dbf","YES","131,072","AVAILABLE","SYSTEM"
"TOOLS","/u02/wrech/tools01.dbf","YES","1,280","AVAILABLE","ONLINE"
"UNDOTBS1","/u02/wrech/undo1.dbf","YES","131,072","AVAILABLE","ONLINE"
"USERS","/u02/wrech/users.dbf","YES","131,072","AVAILABLE","ONLINE"
