"OWNER","VIEW_NAME","COLUMN_NAME","NULLABLE","DATA_TYPE","DATA_DEFAULT","DATA_LENGTH","DATA_PRECISION"
"RIGHTS","GTD_QUERY_V","GTD_SIT_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTD_QUERY_V","SYN_REG_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTD_QUERY_V","TITLE","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","FILM_DESC","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","FILM","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","PHOTO","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","EXTRACT","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","SALE_CONSUMER","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","DATE_CONSUMER","Y","DATE","None","7","None"
"RIGHTS","GTD_QUERY_V","SALE_INSTITUTIONAL","Y","VARCHAR2","None","2","None"
"RIGHTS","GTD_QUERY_V","DATE_INSTITUTIONAL","Y","DATE","None","7","None"
"RIGHTS","GTD_QUERY_V","TYPE_OBJECT","N","VARCHAR2","None","30","None"
"RIGHTS","GTD_QUERY_V","TYPE_SOURCE","N","VARCHAR2","None","30","None"
"RIGHTS","GTD_QUERY_V","INVENTORY_NO","Y","NUMBER","None","22","None"
"RIGHTS","GTD_QUERY_V","PROJECT_NO","Y","VARCHAR2","None","25","None"
"RIGHTS","GTD_QUERY_V","TITLE_CODE","Y","VARCHAR2","None","11","None"
"RIGHTS","GTD_QUERY_V","SORT_KEY_TITLE","N","VARCHAR2","None","60","None"
"RIGHTS","GTD_QUERY_V","FINAL_TITLE","Y","VARCHAR2","None","240","None"
"RIGHTS","GTD_QUERY_V","WORKING_TITLE","Y","VARCHAR2","None","240","None"
"RIGHTS","GTD_QUERY_V","NFB_PRODUCTION","N","VARCHAR2","None","1","None"
"RIGHTS","GTD_QUERY_V","PRODUCTION_YEAR","Y","NUMBER","None","22","None"
"RIGHTS","GTD_QUERY_V","TITLE_RUNNING_TIME","Y","VARCHAR2","None","6","None"
"RIGHTS","GTD_QUERY_V","TITLE_FOOTAGE","Y","VARCHAR2","None","6","None"
"RIGHTS","GTD_QUERY_V","SYN_LAN_ID_SEQ","Y","NUMBER","None","22","None"
"RIGHTS","GTD_QUERY_V","NOTES","Y","VARCHAR2","None","4000","None"
"RIGHTS","GTD_QUERY_V","MSN","Y","NUMBER","None","22","22"
"RIGHTS","GTP_QUERY_V","GTD_SIT_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTP_QUERY_V","SYN_REG_ID_SEQ","N","NUMBER","None","22","None"
"RIGHTS","GTP_QUERY_V","TITLE","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","FILM_DESC","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","FILM","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","PHOTO","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","EXTRACT","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","SALE_CONSUMER","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","DATE_CONSUMER","Y","DATE","None","7","None"
"RIGHTS","GTP_QUERY_V","SALE_INSTITUTIONAL","Y","VARCHAR2","None","2","None"
"RIGHTS","GTP_QUERY_V","DATE_INSTITUTIONAL","Y","DATE","None","7","None"
"RIGHTS","GTP_QUERY_V","TYPE_OBJECT","N","VARCHAR2","None","30","None"
"RIGHTS","GTP_QUERY_V","TYPE_SOURCE","N","VARCHAR2","None","30","None"
"RIGHTS","GTP_QUERY_V","INVENTORY_NO","Y","NUMBER","None","22","None"
"RIGHTS","GTP_QUERY_V","PROJECT_NO","Y","VARCHAR2","None","25","None"
"RIGHTS","GTP_QUERY_V","TITLE_CODE","Y","VARCHAR2","None","11","None"
"RIGHTS","GTP_QUERY_V","SORT_KEY_TITLE","N","VARCHAR2","None","60","None"
"RIGHTS","GTP_QUERY_V","FINAL_TITLE","Y","VARCHAR2","None","240","None"
"RIGHTS","GTP_QUERY_V","WORKING_TITLE","Y","VARCHAR2","None","240","None"
