"TABLE","COMBI_FIELD_NAME","TABLE_ROWS","TOTAL_NULL_ROWS","TOTAL_NOT_NULL_ROWS"
"db_accounts","account_number","1,000","0","1,000"
"db_accounts","lastname","1,000","0","1,000"
"db_accounts","state","1,000","0","1,000"
"db_accounts","address","1,000","0","1,000"
"db_accounts","age","1,000","0","1,000"
"db_accounts","balance","1,000","2","998"
"db_accounts","city","1,000","0","1,000"
"db_accounts","email","1,000","0","1,000"
"db_accounts","employer","1,000","0","1,000"
"db_accounts","firstname","1,000","0","1,000"
"db_accounts","gender","1,000","0","1,000"
"db_logs","@message","14,005","0","14,005"
"db_logs","geo.coordinates.lon","14,005","1","14,004"
"db_logs","geo.dest","14,005","0","14,005"
"db_logs","geo.src","14,005","0","14,005"
"db_logs","geo.srcdest","14,005","0","14,005"
"db_logs","headings","14,005","0","14,005"
"db_logs","host","14,005","0","14,005"
"db_logs","ip","14,005","0","14,005"
"db_logs","links","14,005","0","14,005"
"db_logs","machine.os","14,005","1,334","12,671"
"db_logs","machine.ram","14,005","332","13,673"
"db_logs","@tags","14,005","0","14,005"
"db_logs","memory","14,005","13,608","397"
"db_logs","phpmemory","14,005","13,608","397"
"db_logs","referer","14,005","0","14,005"
"db_logs","relatedContent.article:modified_time","14,005","2,282","11,723"
"db_logs","relatedContent.article:published_time","14,005","2,282","11,723"
"db_logs","relatedContent.article:section","14,005","2,282","11,723"
"db_logs","relatedContent.article:tag","14,005","8,008","5,997"
"db_logs","relatedContent.og:description","14,005","2,282","11,723"
"db_logs","relatedContent.og:image","14,005","4,320","9,685"
"db_logs","relatedContent.og:image:height","14,005","4,327","9,678"
"db_logs","@timestamp","14,005","0","14,005"
"db_logs","relatedContent.og:image:width","14,005","4,327","9,678"
"db_logs","relatedContent.og:site_name","14,005","2,282","11,723"
"db_logs","relatedContent.og:title","14,005","2,282","11,723"
"db_logs","relatedContent.og:type","14,005","2,282","11,723"
"db_logs","relatedContent.og:url","14,005","2,282","11,723"
"db_logs","relatedContent.twitter:card","14,005","2,282","11,723"
"db_logs","relatedContent.twitter:description","14,005","2,282","11,723"
"db_logs","relatedContent.twitter:image","14,005","4,320","9,685"
"db_logs","relatedContent.twitter:site","14,005","2,282","11,723"
"db_logs","relatedContent.twitter:title","14,005","2,282","11,723"
"db_logs","@version","14,005","0","14,005"
"db_logs","relatedContent.url","14,005","2,282","11,723"
"db_logs","request","14,005","0","14,005"
"db_logs","response","14,005","0","14,005"
"db_logs","spaces","14,005","0","14,005"
"db_logs","url","14,005","0","14,005"
"db_logs","utc_time","14,005","0","14,005"
"db_logs","xss","14,005","0","14,005"
"db_logs","agent","14,005","0","14,005"
"db_logs","bytes","14,005","0","14,005"
"db_logs","clientip","14,005","0","14,005"
"db_logs","extension","14,005","0","14,005"
"db_logs","geo.coordinates.lat","14,005","1","14,004"
"db_movies","Actors","113","2","111"
"db_movies","Poster","113","2","111"
"db_movies","Rated","113","2","111"
"db_movies","Released","113","2","111"
"db_movies","Response","113","0","113"
"db_movies","Runtime","113","2","111"
"db_movies","Title","113","2","111"
"db_movies","Type","113","2","111"
"db_movies","Writer","113","2","111"
"db_movies","Year","113","2","111"
"db_movies","imdbID","113","2","111"
"db_movies","Awards","113","2","111"
"db_movies","imdbRating","113","2","111"
"db_movies","imdbVotes","113","2","111"
"db_movies","totalSeasons","113","98","15"
"db_movies","Country","113","2","111"
"db_movies","Director","113","2","111"
"db_movies","Error","113","111","2"
"db_movies","Genre","113","2","111"
"db_movies","Language","113","2","111"
"db_movies","Metascore","113","2","111"
"db_movies","Plot","113","2","111"
"db_shakespeare","line_id","111,396","0","111,396"
"db_shakespeare","line_number","111,396","0","111,396"
"db_shakespeare","play_name","111,396","0","111,396"
"db_shakespeare","speaker","111,396","0","111,396"
"db_shakespeare","speech_number","111,396","0","111,396"
"db_shakespeare","text_entry","111,396","2","111,394"
"db_shakespeare","type","111,396","0","111,396"
