"index_name","mapping","full_column_name","column_name","data_type","data_format","depth_level"
"db_logs","properties","_id","_id","string","","0"
"db_logs","properties","@message","@message","text","","0"
"db_logs","properties","@tags","@tags","text","","0"
"db_logs","properties","@timestamp","@timestamp","date","","0"
"db_logs","properties","@version","@version","text","","0"
"db_logs","properties","agent","agent","text","","0"
"db_logs","properties","bytes","bytes","long","","0"
"db_logs","properties","clientip","clientip","text","","0"
"db_logs","properties","extension","extension","text","","0"
"db_logs","properties","geo.coordinates.lat","lat","float","","2"
"db_logs","properties","geo.coordinates.lon","lon","float","","2"
"db_logs","properties","geo.coordinates","coordinates","{}","{}","1"
"db_logs","properties","geo.dest","dest","text","","1"
"db_logs","properties","geo.src","src","text","","1"
"db_logs","properties","geo.srcdest","srcdest","text","","1"
"db_logs","properties","geo","geo","{}","{}","0"
"db_logs","properties","headings","headings","text","","0"
"db_logs","properties","host","host","text","","0"
"db_logs","properties","ip","ip","text","","0"
"db_logs","properties","links","links","text","","0"
"db_logs","properties","machine.os","os","text","","1"
"db_logs","properties","machine.ram","ram","long","","1"
"db_logs","properties","machine","machine","{}","{}","0"
"db_logs","properties","memory","memory","long","","0"
"db_logs","properties","phpmemory","phpmemory","long","","0"
"db_logs","properties","referer","referer","text","","0"
"db_logs","properties","relatedContent.article:modified_time","article:modified_time","date","","1"
"db_logs","properties","relatedContent.article:published_time","article:published_time","date","","1"
"db_logs","properties","relatedContent.article:section","article:section","text","","1"
"db_logs","properties","relatedContent.article:tag","article:tag","text","","1"
"db_logs","properties","relatedContent.og:description","og:description","text","","1"
"db_logs","properties","relatedContent.og:image","og:image","text","","1"
"db_logs","properties","relatedContent.og:image:height","og:image:height","text","","1"
"db_logs","properties","relatedContent.og:image:width","og:image:width","text","","1"
"db_logs","properties","relatedContent.og:site_name","og:site_name","text","","1"
"db_logs","properties","relatedContent.og:title","og:title","text","","1"
"db_logs","properties","relatedContent.og:type","og:type","text","","1"
"db_logs","properties","relatedContent.og:url","og:url","text","","1"
"db_logs","properties","relatedContent.twitter:card","twitter:card","text","","1"
"db_logs","properties","relatedContent.twitter:description","twitter:description","text","","1"
"db_logs","properties","relatedContent.twitter:image","twitter:image","text","","1"
"db_logs","properties","relatedContent.twitter:site","twitter:site","text","","1"
"db_logs","properties","relatedContent.twitter:title","twitter:title","text","","1"
"db_logs","properties","relatedContent.url","url","text","","1"
"db_logs","properties","relatedContent","relatedContent","{}","{}","0"
"db_logs","properties","request","request","text","","0"
"db_logs","properties","response","response","text","","0"
"db_logs","properties","spaces","spaces","text","","0"
"db_logs","properties","url","url","text","","0"
"db_logs","properties","utc_time","utc_time","date","","0"
"db_logs","properties","xss","xss","text","","0"
"db_movies","properties","_id","_id","string","","0"
"db_movies","properties","Actors","Actors","text","","0"
"db_movies","properties","Awards","Awards","text","","0"
"db_movies","properties","Country","Country","text","","0"
"db_movies","properties","Director","Director","text","","0"
"db_movies","properties","Error","Error","text","","0"
"db_movies","properties","Genre","Genre","text","","0"
"db_movies","properties","Language","Language","text","","0"
"db_movies","properties","Metascore","Metascore","text","","0"
"db_movies","properties","Plot","Plot","text","","0"
"db_movies","properties","Poster","Poster","text","","0"
"db_movies","properties","Rated","Rated","text","","0"
"db_movies","properties","Released","Released","text","","0"
"db_movies","properties","Response","Response","text","","0"
"db_movies","properties","Runtime","Runtime","text","","0"
"db_movies","properties","Title","Title","text","","0"
"db_movies","properties","Type","Type","text","","0"
"db_movies","properties","Writer","Writer","text","","0"
"db_movies","properties","Year","Year","text","","0"
"db_movies","properties","imdbID","imdbID","text","","0"
"db_movies","properties","imdbRating","imdbRating","text","","0"
"db_movies","properties","imdbVotes","imdbVotes","text","","0"
"db_movies","properties","totalSeasons","totalSeasons","text","","0"
"db_accounts","properties","_id","_id","string","","0"
"db_accounts","properties","account_number","account_number","long","","0"
"db_accounts","properties","address","address","text","","0"
"db_accounts","properties","age","age","long","","0"
"db_accounts","properties","balance","balance","long","","0"
"db_accounts","properties","city","city","text","","0"
"db_accounts","properties","email","email","text","","0"
"db_accounts","properties","employer","employer","text","","0"
"db_accounts","properties","firstname","firstname","text","","0"
"db_accounts","properties","gender","gender","text","","0"
"db_accounts","properties","lastname","lastname","text","","0"
"db_accounts","properties","state","state","text","","0"
"db_shakespeare","properties","_id","_id","string","","0"
"db_shakespeare","properties","line_id","line_id","long","","0"
"db_shakespeare","properties","line_number","line_number","text","","0"
"db_shakespeare","properties","play_name","play_name","text","","0"
"db_shakespeare","properties","speaker","speaker","text","","0"
"db_shakespeare","properties","speech_number","speech_number","text","","0"
"db_shakespeare","properties","text_entry","text_entry","text","","0"
"db_shakespeare","properties","type","type","text","","0"
