"TABLE","COMBI_FIELD_NAME","TABLE_ROWS","TOTAL_NULL_ROWS","TOTAL_NOT_NULL_ROWS"
"HumanResources.Department","DepartmentID","16","0","16"
"HumanResources.Department","GroupName","16","0","16"
"HumanResources.Department","ModifiedDate","16","0","16"
"HumanResources.Department","Name","16","0","16"
"HumanResources.Employee","BusinessEntityID","290","0","290"
"HumanResources.Employee","NationalIDNumber","290","0","290"
"HumanResources.Employee","OrganizationLevel","290","1","289"
"HumanResources.Employee","SalariedFlag","290","0","290"
"HumanResources.Employee","SickLeaveHours","290","0","290"
"HumanResources.Employee","VacationHours","290","0","290"
"HumanResources.Employee","rowguid","290","0","290"
"HumanResources.Employee","BirthDate","290","0","290"
"HumanResources.Employee","CurrentFlag","290","0","290"
"HumanResources.Employee","Gender","290","0","290"
"HumanResources.Employee","HireDate","290","0","290"
"HumanResources.Employee","JobTitle","290","0","290"
"HumanResources.Employee","LoginID","290","0","290"
"HumanResources.Employee","MaritalStatus","290","0","290"
"HumanResources.Employee","ModifiedDate","290","0","290"
"HumanResources.EmployeeDepartmentHistory","BusinessEntityID","296","0","296"
"HumanResources.EmployeeDepartmentHistory","DepartmentID","296","0","296"
"HumanResources.EmployeeDepartmentHistory","EndDate","296","290","6"
"HumanResources.EmployeeDepartmentHistory","ModifiedDate","296","0","296"
"HumanResources.EmployeeDepartmentHistory","ShiftID","296","0","296"
"HumanResources.EmployeeDepartmentHistory","StartDate","296","0","296"
"HumanResources.EmployeePayHistory","BusinessEntityID","316","0","316"
"HumanResources.EmployeePayHistory","ModifiedDate","316","0","316"
"HumanResources.EmployeePayHistory","PayFrequency","316","0","316"
"HumanResources.EmployeePayHistory","RateChangeDate","316","0","316"
"HumanResources.EmployeePayHistory","Rate","316","0","316"
"HumanResources.JobCandidate","BusinessEntityID","13","11","2"
"HumanResources.JobCandidate","JobCandidateID","13","0","13"
"HumanResources.JobCandidate","ModifiedDate","13","0","13"
"HumanResources.Shift","EndTime","3","0","3"
"HumanResources.Shift","ModifiedDate","3","0","3"
"HumanResources.Shift","Name","3","0","3"
"HumanResources.Shift","ShiftID","3","0","3"
"HumanResources.Shift","StartTime","3","0","3"
"Person.Address","AddressID","19,614","0","19,614"
"Person.Address","AddressLine1","19,614","0","19,614"
"Person.Address","AddressLine2","19,614","19,252","362"
"Person.Address","City","19,614","0","19,614"
"Person.Address","ModifiedDate","19,614","0","19,614"
"Person.Address","PostalCode","19,614","0","19,614"
"Person.Address","StateProvinceID","19,614","0","19,614"
"Person.Address","rowguid","19,614","0","19,614"
"Person.AddressType","AddressTypeID","6","0","6"
"Person.AddressType","ModifiedDate","6","0","6"
"Person.AddressType","Name","6","0","6"
"Person.AddressType","rowguid","6","0","6"
"Person.BusinessEntity","BusinessEntityID","20,777","0","20,777"
"Person.BusinessEntity","ModifiedDate","20,777","0","20,777"
"Person.BusinessEntity","rowguid","20,777","0","20,777"
"Person.BusinessEntityAddress","AddressID","19,614","0","19,614"
"Person.BusinessEntityAddress","AddressTypeID","19,614","0","19,614"
"Person.BusinessEntityAddress","BusinessEntityID","19,614","0","19,614"
"Person.BusinessEntityAddress","ModifiedDate","19,614","0","19,614"
"Person.BusinessEntityAddress","rowguid","19,614","0","19,614"
"Person.BusinessEntityContact","BusinessEntityID","909","0","909"
"Person.BusinessEntityContact","ContactTypeID","909","0","909"
"Person.BusinessEntityContact","ModifiedDate","909","0","909"
"Person.BusinessEntityContact","PersonID","909","0","909"
"Person.BusinessEntityContact","rowguid","909","0","909"
"Person.ContactType","ContactTypeID","20","0","20"
"Person.ContactType","ModifiedDate","20","0","20"
"Person.ContactType","Name","20","0","20"
"Person.CountryRegion","CountryRegionCode","238","0","238"
"Person.CountryRegion","ModifiedDate","238","0","238"
"Person.CountryRegion","Name","238","0","238"
"Person.EmailAddress","BusinessEntityID","19,972","0","19,972"
"Person.EmailAddress","EmailAddressID","19,972","0","19,972"
"Person.EmailAddress","EmailAddress","19,972","0","19,972"
"Person.EmailAddress","ModifiedDate","19,972","0","19,972"
"Person.EmailAddress","rowguid","19,972","0","19,972"
"Person.Password","BusinessEntityID","19,972","0","19,972"
"Person.Password","ModifiedDate","19,972","0","19,972"
"Person.Password","PasswordHash","19,972","0","19,972"
"Person.Password","PasswordSalt","19,972","0","19,972"
"Person.Password","rowguid","19,972","0","19,972"
"Person.Person","PersonType","19,972","0","19,972"
"Person.Person","Suffix","19,972","19,919","53"
"Person.Person","Title","19,972","18,963","1,009"
"Person.Person","rowguid","19,972","0","19,972"
"Person.Person","BusinessEntityID","19,972","0","19,972"
"Person.Person","EmailPromotion","19,972","0","19,972"
"Person.Person","FirstName","19,972","0","19,972"
"Person.Person","LastName","19,972","0","19,972"
"Person.Person","MiddleName","19,972","8,499","11,473"
