"FOREIGN_TABLE","PRIMARY_TABLE","CONSTRAINT_NAME","FK_COLUMNS"
"HumanResources.Employee","Person.Person","FK_Employee_Person_BusinessEntityID","BusinessEntityID"
"HumanResources.EmployeeDepartmentHistory","HumanResources.Department","FK_EmployeeDepartmentHistory_Department_DepartmentID","DepartmentID"
"HumanResources.EmployeeDepartmentHistory","HumanResources.Employee","FK_EmployeeDepartmentHistory_Employee_BusinessEntityID","BusinessEntityID"
"HumanResources.EmployeeDepartmentHistory","HumanResources.Shift","FK_EmployeeDepartmentHistory_Shift_ShiftID","ShiftID"
"HumanResources.EmployeePayHistory","HumanResources.Employee","FK_EmployeePayHistory_Employee_BusinessEntityID","BusinessEntityID"
"HumanResources.JobCandidate","HumanResources.Employee","FK_JobCandidate_Employee_BusinessEntityID","BusinessEntityID"
"Person.Address","Person.StateProvince","FK_Address_StateProvince_StateProvinceID","StateProvinceID"
"Person.BusinessEntityAddress","Person.Address","FK_BusinessEntityAddress_Address_AddressID","AddressID"
"Person.BusinessEntityAddress","Person.AddressType","FK_BusinessEntityAddress_AddressType_AddressTypeID","AddressTypeID"
"Person.BusinessEntityAddress","Person.BusinessEntity","FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID","BusinessEntityID"
"Person.BusinessEntityContact","Person.BusinessEntity","FK_BusinessEntityContact_BusinessEntity_BusinessEntityID","BusinessEntityID"
"Person.BusinessEntityContact","Person.ContactType","FK_BusinessEntityContact_ContactType_ContactTypeID","ContactTypeID"
"Person.BusinessEntityContact","Person.Person","FK_BusinessEntityContact_Person_PersonID","PersonID"
"Person.EmailAddress","Person.Person","FK_EmailAddress_Person_BusinessEntityID","BusinessEntityID"
"Person.Password","Person.Person","FK_Password_Person_BusinessEntityID","BusinessEntityID"
"Person.Person","Person.BusinessEntity","FK_Person_BusinessEntity_BusinessEntityID","BusinessEntityID"
"Person.PersonPhone","Person.Person","FK_PersonPhone_Person_BusinessEntityID","BusinessEntityID"
"Person.PersonPhone","Person.PhoneNumberType","FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID","PhoneNumberTypeID"
"Person.StateProvince","Person.CountryRegion","FK_StateProvince_CountryRegion_CountryRegionCode","CountryRegionCode"
"Person.StateProvince","Sales.SalesTerritory","FK_StateProvince_SalesTerritory_TerritoryID","TerritoryID"
"Production.BillOfMaterials","Production.Product","FK_BillOfMaterials_Product_ProductAssemblyID","ProductAssemblyID"
"Production.BillOfMaterials","Production.Product","FK_BillOfMaterials_Product_ComponentID","ComponentID"
"Production.BillOfMaterials","Production.UnitMeasure","FK_BillOfMaterials_UnitMeasure_UnitMeasureCode","UnitMeasureCode"
"Production.Document","HumanResources.Employee","FK_Document_Employee_Owner","Owner"
"Production.Product","Production.ProductModel","FK_Product_ProductModel_ProductModelID","ProductModelID"
"Production.Product","Production.ProductSubcategory","FK_Product_ProductSubcategory_ProductSubcategoryID","ProductSubcategoryID"
"Production.Product","Production.UnitMeasure","FK_Product_UnitMeasure_SizeUnitMeasureCode","SizeUnitMeasureCode"
"Production.Product","Production.UnitMeasure","FK_Product_UnitMeasure_WeightUnitMeasureCode","WeightUnitMeasureCode"
"Production.ProductCostHistory","Production.Product","FK_ProductCostHistory_Product_ProductID","ProductID"
"Production.ProductDocument","Production.Document","FK_ProductDocument_Document_DocumentNode","DocumentNode"
"Production.ProductDocument","Production.Product","FK_ProductDocument_Product_ProductID","ProductID"
"Production.ProductInventory","Production.Location","FK_ProductInventory_Location_LocationID","LocationID"
"Production.ProductInventory","Production.Product","FK_ProductInventory_Product_ProductID","ProductID"
"Production.ProductListPriceHistory","Production.Product","FK_ProductListPriceHistory_Product_ProductID","ProductID"
"Production.ProductModelIllustration","Production.Illustration","FK_ProductModelIllustration_Illustration_IllustrationID","IllustrationID"
"Production.ProductModelIllustration","Production.ProductModel","FK_ProductModelIllustration_ProductModel_ProductModelID","ProductModelID"
"Production.ProductModelProductDescriptionCulture","Production.Culture","FK_ProductModelProductDescriptionCulture_Culture_CultureID","CultureID"
