"TABLE","COMBI_FIELD_NAME","TABLE_ROWS","TOTAL_NULL_ROWS","TOTAL_NOT_NULL_ROWS"
"classicmodels.customers","addressLine1","122","0","122"
"classicmodels.customers","phone","122","0","122"
"classicmodels.customers","postalCode","122","7","115"
"classicmodels.customers","state","122","73","49"
"classicmodels.customers","salesRepEmployeeNumber","122","22","100"
"classicmodels.customers","addressLine2","122","100","22"
"classicmodels.customers","customerNumber","122","0","122"
"classicmodels.customers","customerName","122","0","122"
"classicmodels.customers","contactLastName","122","0","122"
"classicmodels.customers","contactFirstName","122","0","122"
"classicmodels.customers","city","122","0","122"
"classicmodels.customers","country","122","0","122"
"classicmodels.customers","creditLimit","122","0","122"
"classicmodels.employees","employeeNumber","23","0","23"
"classicmodels.employees","extension","23","0","23"
"classicmodels.employees","email","23","0","23"
"classicmodels.employees","firstName","23","0","23"
"classicmodels.employees","jobTitle","23","0","23"
"classicmodels.employees","lastName","23","0","23"
"classicmodels.employees","officeCode","23","0","23"
"classicmodels.employees","reportsTo","23","1","22"
"classicmodels.offices","addressLine1","7","0","7"
"classicmodels.offices","addressLine2","7","2","5"
"classicmodels.offices","city","7","0","7"
"classicmodels.offices","country","7","0","7"
"classicmodels.offices","officeCode","7","0","7"
"classicmodels.offices","phone","7","0","7"
"classicmodels.offices","postalCode","7","0","7"
"classicmodels.offices","state","7","3","4"
"classicmodels.offices","territory","7","0","7"
"classicmodels.orderdetails","orderNumber","2,996","0","2,996"
"classicmodels.orderdetails","orderLineNumber","2,996","0","2,996"
"classicmodels.orderdetails","productCode","2,996","0","2,996"
"classicmodels.orderdetails","priceEach","2,996","0","2,996"
"classicmodels.orderdetails","quantityOrdered","2,996","0","2,996"
"classicmodels.orders","comments","326","246","80"
"classicmodels.orders","customerNumber","326","0","326"
"classicmodels.orders","orderNumber","326","0","326"
"classicmodels.orders","orderDate","326","0","326"
"classicmodels.orders","requiredDate","326","0","326"
"classicmodels.orders","shippedDate","326","14","312"
"classicmodels.orders","status","326","0","326"
"classicmodels.payments","amount","273","0","273"
"classicmodels.payments","customerNumber","273","0","273"
"classicmodels.payments","checkNumber","273","0","273"
"classicmodels.payments","paymentDate","273","0","273"
"classicmodels.productlines","htmlDescription","7","7","0"
"classicmodels.productlines","image","7","7","0"
"classicmodels.productlines","productLine","7","0","7"
"classicmodels.productlines","textDescription","7","0","7"
"classicmodels.products","MSRP","110","0","110"
"classicmodels.products","buyPrice","110","0","110"
"classicmodels.products","productCode","110","0","110"
"classicmodels.products","productName","110","0","110"
"classicmodels.products","productScale","110","0","110"
"classicmodels.products","productVendor","110","0","110"
"classicmodels.products","productDescription","110","0","110"
"classicmodels.products","productLine","110","0","110"
"classicmodels.products","quantityInStock","110","0","110"
