"FOREIGN_TABLE","PRIMARY_TABLE","CONSTRAINT_NAME","FK_COLUMNS"
"ORDERS","CUSTOMERS","FK_ORDERS_CUSTOMERS","CUSTOMER_ID"
"PRODUCTS","PRODUCT_CATEGORIES","FK_PRODUCTS_CATEGORIES","CATEGORY_ID"
"WAREHOUSES","LOCATIONS","FK_WAREHOUSES_LOCATIONS","LOCATION_ID"
"ORDERS","EMPLOYEES","FK_ORDERS_EMPLOYEES","EMPLOYEE_ID"
"EMPLOYEES","EMPLOYEES","FK_EMPLOYEES_MANAGER","EMPLOYEE_ID"
"LOCATIONS","COUNTRIES","FK_LOCATIONS_COUNTRIES","COUNTRY_ID"
"INVENTORIES","PRODUCTS","FK_INVENTORIES_PRODUCTS","PRODUCT_ID"
"ORDER_ITEMS","ORDERS","FK_ORDER_ITEMS_ORDERS","ORDER_ID"
"ORDER_ITEMS","PRODUCTS","FK_ORDER_ITEMS_PRODUCTS","PRODUCT_ID"
"CONTACTS","CUSTOMERS","FK_CONTACTS_CUSTOMERS","CUSTOMER_ID"
"COUNTRIES","REGIONS","FK_COUNTRIES_REGIONS","REGION_ID"
"INVENTORIES","WAREHOUSES","FK_INVENTORIES_WAREHOUSES","WAREHOUSE_ID"
