"TABLE_NAME","COLUMN_NAME","NULLABLE","DATA_TYPE","DATA_DEFAULT","DATA_LENGTH","DATA_PRECISION"
"CONTACTS","CONTACT_ID","N","NUMBER","""OT"".""ISEQ$$_1055113"".nextval","22","None"
"CONTACTS","FIRST_NAME","N","VARCHAR2","None","255","None"
"CONTACTS","LAST_NAME","N","VARCHAR2","None","255","None"
"CONTACTS","EMAIL","N","VARCHAR2","None","255","None"
"CONTACTS","PHONE","Y","VARCHAR2","None","20","None"
"CONTACTS","CUSTOMER_ID","Y","NUMBER","None","22","None"
"COUNTRIES","COUNTRY_ID","N","CHAR","None","2","None"
"COUNTRIES","COUNTRY_NAME","N","VARCHAR2","None","40","None"
"COUNTRIES","REGION_ID","Y","NUMBER","None","22","None"
"CUSTOMERS","CUSTOMER_ID","N","NUMBER","""OT"".""ISEQ$$_1055110"".nextval","22","None"
"CUSTOMERS","NAME","N","VARCHAR2","None","255","None"
"CUSTOMERS","ADDRESS","Y","VARCHAR2","None","255","None"
"CUSTOMERS","WEBSITE","Y","VARCHAR2","None","255","None"
"CUSTOMERS","CREDIT_LIMIT","Y","NUMBER","None","22","8"
"EMPLOYEES","EMPLOYEE_ID","N","NUMBER","""OT"".""ISEQ$$_1055101"".nextval","22","None"
"EMPLOYEES","FIRST_NAME","N","VARCHAR2","None","255","None"
"EMPLOYEES","LAST_NAME","N","VARCHAR2","None","255","None"
"EMPLOYEES","EMAIL","N","VARCHAR2","None","255","None"
"EMPLOYEES","PHONE","N","VARCHAR2","None","50","None"
"EMPLOYEES","HIRE_DATE","N","DATE","None","7","None"
"EMPLOYEES","JOB_TITLE","N","VARCHAR2","None","255","None"
"EMPLOYEES","MANAGER_ID","Y","NUMBER","None","22","12"
"INVENTORIES","WAREHOUSE_ID","N","NUMBER","None","22","12"
"INVENTORIES","PRODUCT_ID","N","NUMBER","None","22","12"
"INVENTORIES","QUANTITY","N","NUMBER","None","22","8"
"LOCATIONS","LOCATION_ID","N","NUMBER","""OT"".""ISEQ$$_1055095"".nextval","22","None"
"LOCATIONS","ADDRESS","N","VARCHAR2","None","255","None"
"LOCATIONS","POSTAL_CODE","Y","VARCHAR2","None","20","None"
"LOCATIONS","CITY","Y","VARCHAR2","None","50","None"
"LOCATIONS","STATE","Y","VARCHAR2","None","50","None"
"LOCATIONS","COUNTRY_ID","Y","CHAR","None","2","None"
"ORDERS","ORDER_ID","N","NUMBER","""OT"".""ISEQ$$_1055116"".nextval","22","None"
"ORDERS","STATUS","N","VARCHAR2","None","20","None"
"ORDERS","ORDER_DATE","N","DATE","None","7","None"
"ORDERS","CUSTOMER_ID","N","NUMBER","None","22","6"
"ORDERS","SALESMAN_ID","Y","NUMBER","None","22","6"
"ORDER_ITEMS","ORDER_ID","N","NUMBER","None","22","12"
"ORDER_ITEMS","ITEM_ID","N","NUMBER","None","22","12"
"ORDER_ITEMS","QUANTITY","N","NUMBER","None","22","8"
"ORDER_ITEMS","UNIT_PRICE","N","NUMBER","None","22","8"
"ORDER_ITEMS","PRODUCT_ID","N","NUMBER","None","22","12"
"PRODUCTS","PRODUCT_ID","N","NUMBER","""OT"".""ISEQ$$_1055107"".nextval","22","None"
"PRODUCTS","PRODUCT_NAME","N","VARCHAR2","None","255","None"
"PRODUCTS","DESCRIPTION","Y","VARCHAR2","None","2000","None"
"PRODUCTS","STANDARD_COST","Y","NUMBER","None","22","9"
"PRODUCTS","LIST_PRICE","Y","NUMBER","None","22","9"
"PRODUCTS","CATEGORY_ID","N","NUMBER","None","22","None"
"PRODUCT_CATEGORIES","CATEGORY_ID","N","NUMBER","""OT"".""ISEQ$$_1055104"".nextval","22","None"
"PRODUCT_CATEGORIES","CATEGORY_NAME","N","VARCHAR2","None","255","None"
"REGIONS","REGION_ID","N","NUMBER","""OT"".""ISEQ$$_1055090"".nextval","22","None"
"REGIONS","REGION_NAME","N","VARCHAR2","None","50","None"
"WAREHOUSES","WAREHOUSE_ID","N","NUMBER","""OT"".""ISEQ$$_1055098"".nextval","22","None"
"WAREHOUSES","WAREHOUSE_NAME","Y","VARCHAR2","None","255","None"
"WAREHOUSES","LOCATION_ID","Y","NUMBER","None","22","12"
