"TABLESPACE_NAME","SIZE_MB","FREE_MB","USED_%","FREE_%","SYS_STATUS"
"USERS","13.75","1.75","87","13","red"
"orcl_dev_DAT","20757","12686.5625","39","61","green"
"DEV12_WLS","60","50.25","16","84","green"
"OFMW_IAS_OPSS","60","6.625","89","11","red"
"OFMW_WLS","60","50.25","16","84","green"
"APPDRTS_DT","941","591.75","37","63","green"
"TOOLS","2088","1809.5625","13","87","green"
"DEV12_STB","10","8.125","19","81","green"
"POURREADONLY","50","39.375","21","79","green"
"SYSTEM","1620","3.875","100","0","red"
"APPDRTS_IDX","1024","249.375","76","24","yellow"
"SYSAUX","1870","138.9375","93","7","red"
"UNDOTBS1","32767.984375","32498.375","1","99","green"
"orcl_dev_IDX","2190","104.75","95","5","red"
"orcl_dev_LC","10598","4054.75","62","38","yellow"
"WORK","1000","999","0","100","green"
"OFMW_IAU","60","11.5625","81","19","red"
"OFMW_STB","10","8.125","19","81","green"
"TEMP","32767","28874","12","88","green"
"OFMW_IAS_TEMP","100","99","1","99","green"
"DEV12_IAS_TEMP","100","99","1","99","green"
