"OWNER","VIEW_NAME","COLUMN_NAME","NULLABLE","DATA_TYPE","DATA_DEFAULT","DATA_LENGTH","DATA_PRECISION"
"OT","COUNTRY_LOCATIONS","COUNTRY_ID","N","CHAR","None","2","None"
"OT","COUNTRY_LOCATIONS","COUNTRY_NAME","N","VARCHAR2","None","40","None"
"OT","COUNTRY_LOCATIONS","REGION_ID","Y","NUMBER","None","22","None"
"OT","COUNTRY_LOCATIONS","ADDRESS","N","VARCHAR2","None","255","None"
"OT","COUNTRY_LOCATIONS","POSTAL_CODE","Y","VARCHAR2","None","20","None"
"OT","COUNTRY_LOCATIONS","STATE","Y","VARCHAR2","None","50","None"
"OT","ORDER_DETAILS","ORDER_ID","N","NUMBER","None","22","None"
"OT","ORDER_DETAILS","CUSTOMER_ID","N","NUMBER","None","22","6"
"OT","ORDER_DETAILS","STATUS","N","VARCHAR2","None","20","None"
"OT","ORDER_DETAILS","SALESMAN_ID","Y","NUMBER","None","22","6"
"OT","ORDER_DETAILS","ORDER_DATE","N","DATE","None","7","None"
"OT","ORDER_DETAILS","ITEM_ID","N","NUMBER","None","22","12"
"OT","ORDER_DETAILS","QUANTITY","N","NUMBER","None","22","8"
"OT","ORDER_DETAILS","UNIT_PRICE","N","NUMBER","None","22","8"
